Movie_Title,Company_title,Company_link,
https://www.the-numbers.com/movie/Avatar-The-Way-of-Water-(2022)#tab=box-office,20th Century Studios,https://www.the-numbers.com/market/distributor/20th-Century-Studios,
https://www.the-numbers.com/movie/Puss-in-Boots-The-Last-Wish-(2022)#tab=box-office,Universal,https://www.the-numbers.com/market/distributor/Universal,
https://www.the-numbers.com/movie/M3GAN#tab=box-office,Universal,https://www.the-numbers.com/market/distributor/Universal,
https://www.the-numbers.com/movie/Man-Called-Otto-A-(2022)#tab=box-office,Sony Pictures,https://www.the-numbers.com/market/distributor/Sony-Pictures,
https://www.the-numbers.com/movie/Plane-(2023)#tab=box-office,Lionsgate,https://www.the-numbers.com/market/distributor/Lionsgate,
https://www.the-numbers.com/movie/80-for-Brady-(2023)#tab=box-office,Paramount Pictures,https://www.the-numbers.com/market/distributor/Paramount-Pictures,
https://www.the-numbers.com/movie/Missing-(2023)#tab=box-office,Sony Pictures,https://www.the-numbers.com/market/distributor/Sony-Pictures,
https://www.the-numbers.com/movie/Knock-at-the-Cabin-(2023)#tab=box-office,Universal,https://www.the-numbers.com/market/distributor/Universal,
https://www.the-numbers.com/movie/Pathaan-(2023-India)#tab=box-office,Yash Raj Films,https://www.the-numbers.com/market/distributor/Yash-Raj-Films,
https://www.the-numbers.com/movie/Black-Panther-Wakanda-Forever-(2022)#tab=box-office,Walt Disney,https://www.the-numbers.com/market/distributor/Walt-Disney,
https://www.the-numbers.com/movie/Magic-Mikes-Last-Dance-(2023)#tab=box-office,Warner Bros.,https://www.the-numbers.com/market/distributor/Warner-Bros,
https://www.the-numbers.com/movie/Whale-The-(2022)#tab=box-office,A24,https://www.the-numbers.com/market/distributor/A24,
https://www.the-numbers.com/movie/Whitney-Houston-I-Wanna-Dance-With-Somebody#tab=box-office,Sony Pictures,https://www.the-numbers.com/market/distributor/Sony-Pictures,
https://www.the-numbers.com/movie/Titanic-(1997)#tab=box-office,Paramount Pictures,https://www.the-numbers.com/market/distributor/Paramount-Pictures,
https://www.the-numbers.com/movie/House-Party-(2023)#tab=box-office,Warner Bros.,https://www.the-numbers.com/market/distributor/Warner-Bros,
https://www.the-numbers.com/movie/Bangtansonyeondan-Yet-Tu-Keom-In-Sinema-(2023-South-Korea)#tab=box-office,Trafalgar Releasing,https://www.the-numbers.com/market/distributor/Trafalgar-Releasing,
https://www.the-numbers.com/movie/Babylon-(2022)#tab=box-office,Paramount Pictures,https://www.the-numbers.com/market/distributor/Paramount-Pictures,
https://www.the-numbers.com/movie/Chosen-The-Season-3-Finale-(2023)#tab=box-office,Fathom Events,https://www.the-numbers.com/market/distributor/Fathom-Events,
